66
(1, 1)
(2, 2)
(1, 3)
(1, 2)
(1, 3)
(5, 2)
(5, 6)
(7, 8)
(9, 6)
(7, 10)
(10, 10)
(3, 11)
(4, 8)
(6, 13)
(3, 6)
(7, 6)
(6, 3)
(7, 11)
(18, 8)
(12, 6)
(3, 14)
(20, 6)
(15, 11)
(13, 6)
(16, 4)
(20, 2)
(4, 7)
(17, 28)
(26, 25)
(1, 15)
(1, 2)
(27, 23)
(33, 17)
(1, 33)
(14, 21)
(17, 22)
(12, 12)
(25, 24)
(15, 39)
(37, 13)
(31, 26)
(33, 14)
(36, 23)
(43, 35)
(2, 44)
(26, 18)
(42, 24)
(37, 43)
(2, 8)
(3, 30)
(47, 22)
(19, 6)
(9, 51)
(23, 48)
(33, 33)
(23, 51)
(40, 57)
(34, 31)
(45, 22)
(1, 28)
(24, 15)
(11, 41)
(14, 1)
(16, 54)
(4, 26)
(59, 25)
(16, 8)
(39, 28)
(37, 46)
(23, 33)
(11, 45)
(27, 43)
(59, 43)
(15, 38)
(5, 39)
(22, 73)
(42, 48)
(46, 16)
(49, 68)
(41, 79)
(67, 29)
(75, 20)
(26, 76)
(33, 23)
(85, 6)
(44, 77)
(7, 46)
(24, 4)
(55, 80)
(67, 53)
(43, 66)
(32, 54)
(71, 45)
(62, 16)
(43, 54)
(44, 41)
(67, 12)
(2, 42)
(58, 1)
(54, 6)
(83, 81)
(5, 21)
(46, 27)
(89, 85)
(86, 40)
(105, 83)
(19, 72)
(1, 52)
(96, 80)
(20, 10)
(53, 102)
(73, 10)
(73, 9)
(4, 101)
(95, 70)
(80, 93)
(27, 85)
(11, 98)
(10, 63)
(94, 79)
(108, 97)
(50, 16)
(2, 81)
(100, 92)
(123, 9)
(111, 24)
(42, 75)
(58, 94)
(32, 126)
(119, 111)
(57, 103)
(125, 73)
(59, 78)
(44, 117)
(41, 118)
(8, 40)
(126, 17)
(126, 21)
(115, 3)
(63, 69)
(26, 136)
(71, 15)
(56, 131)
(71, 138)
(3, 90)
(91, 100)
(53, 130)
(5, 81)
(40, 94)
(37, 35)
(76, 32)
(88, 45)
(125, 145)
(11, 118)
(70, 35)
(98, 117)
(29, 7)
(54, 15)
(96, 12)
(74, 54)
(128, 86)
(89, 144)
(90, 102)
(122, 135)
(134, 35)
(160, 78)
(157, 138)
(76, 46)
(38, 139)
(68, 130)
(147, 40)
(37, 41)
(81, 68)
(143, 115)
(84, 4)
(25, 7)
(150, 24)
(73, 102)
(39, 53)
(73, 98)
(9, 80)
(96, 93)
(165, 109)
(13, 182)
(44, 179)
(97, 104)
(94, 127)
(2, 148)
(24, 135)
(57, 67)
(53, 101)
(6, 162)
(134, 48)
(95, 3)
(9, 26)
(113, 145)
(193, 24)
(155, 36)
(195, 20)
(81, 4)
(37, 49)
(15, 118)
(74, 126)
(10, 180)
(126, 142)
(100, 135)
(62, 187)
(19, 70)
(181, 156)
(164, 186)
(21, 114)
(55, 130)
(14, 194)
(30, 137)
(117, 93)
(157, 167)
(80, 99)
(21, 72)
(31, 4)
(94, 66)
(49, 76)
(201, 115)
(6, 99)
(50, 10)
(25, 221)
(156, 82)
(22, 96)
(99, 33)
(74, 16)
(109, 73)
(88, 158)
(141, 183)
(29, 201)
(189, 127)
(171, 196)
(67, 155)
(91, 169)
(7, 29)
(143, 207)
(209, 133)
(216, 90)
(55, 62)
(113, 44)
(222, 121)
(21, 19)
(23, 30)
(181, 211)
(81, 248)
(216, 212)
(224, 183)
(114, 221)
(104, 150)
(186, 246)
(23, 135)
(63, 254)
(85, 250)
(195, 63)
(23, 205)
(106, 47)
(225, 136)
(45, 94)
(243, 118)
(211, 182)
(258, 182)
(88, 91)
(110, 266)
(157, 194)
(8, 226)
(4, 75)
(149, 1)
(55, 239)
(109, 48)
(12, 36)
(133, 55)
(54, 80)
(178, 126)
(80, 61)
(93, 98)
(71, 135)
(105, 42)
(20, 73)
(123, 82)
(260, 220)
(200, 116)
(152, 243)
(226, 37)
(207, 271)
(264, 36)
(154, 203)
(264, 270)
(118, 91)
(228, 58)
(187, 121)
(76, 229)
(249, 181)
(21, 252)
(198, 177)
(28, 1)
(118, 132)
(255, 18)
(235, 149)
(159, 141)
(165, 66)
(209, 191)
(179, 19)
(274, 197)
(218, 57)
(37, 160)
(282, 283)
(189, 180)
(11, 123)
(86, 266)
(26, 212)
(9, 187)
(213, 116)
(121, 121)
(195, 190)
(149, 148)
(277, 177)
(233, 270)
(13, 286)
(239, 112)
(175, 257)
