20
(1, 1)
(2, 1)
(1, 1)
(2, 3)
(3, 1)
(4, 3)
(1, 7)
(3, 6)
(7, 5)
(10, 9)
(1, 6)
(1, 5)
(6, 4)
(9, 3)
(12, 12)
(11, 15)
(12, 7)
(5, 15)
(11, 9)
(15, 11)
(18, 15)
(21, 14)
(9, 13)
(3, 2)
(4, 15)
(15, 3)
(4, 14)
(16, 16)
(13, 1)
(2, 7)
(2, 17)
(28, 9)
(26, 23)
(8, 32)
(16, 23)
(7, 7)
(19, 16)
(14, 32)
(29, 31)
(27, 19)
(39, 27)
(11, 18)
(27, 1)
(1, 32)
(11, 25)
(17, 4)
(8, 28)
(33, 36)
(15, 46)
(7, 46)
(4, 25)
(16, 9)
(4, 7)
(40, 48)
(35, 45)
(15, 53)
(27, 33)
(44, 1)
(59, 31)
(41, 39)
(52, 15)
(51, 47)
(1, 37)
(32, 50)
(53, 42)
(28, 40)
(52, 39)
(54, 60)
(19, 8)
(48, 1)
(39, 2)
(13, 40)
(39, 53)
(46, 8)
(4, 23)
(19, 63)
(25, 16)
(50, 35)
(67, 36)
(44, 32)
(45, 51)
(35, 64)
(40, 73)
(78, 26)
(49, 62)
(85, 8)
(57, 86)
(60, 21)
(79, 4)
(44, 45)
(62, 1)
(2, 36)
(89, 3)
(48, 79)
(92, 79)
(11, 36)
(75, 65)
(60, 69)
(42, 78)
(60, 13)
